################################################################################
IN SEQ: 	 b'i lo ##ath ##e how women still expect men to open doors and give up seats for them yet in the next breath demand equality'
GOLD TOK: 	 [['individuals'], ['their']]
PRED TOK: 	 [['people'], ['partner'], ['world', 'this', 'world']]
################################################################################
IN SEQ: 	 b'into ##xi ##cation among women is worse than into ##xi ##cation among men'
GOLD SEQ: 	 b'into ##xi ##cation among some people is worse than into ##xi ##cation among others'
PRED SEQ:	 b'into ##xi ##cation among people is worse than into ##xi'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'it s a man s remote women take far too long with them'
GOLD SEQ: 	 b'it s a tv remote people take far too long with them'
PRED SEQ:	 b'it s not a person take far too long with remote them'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['tv'], ['people']]
PRED TOK: 	 [['not'], ['person'], ['remote']]
################################################################################
IN SEQ: 	 b'i don ##t trust women driving trucks that shit gets me nervous'
GOLD SEQ: 	 b'i don ##t trust amateurs driving trucks that shit gets me nervous'
PRED SEQ:	 b'i don ##t trust people driving that trucks gets me me'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['amateurs']]
PRED TOK: 	 [['people'], ['trucks'], ['me']]
################################################################################
IN SEQ: 	 b'has a female comedian ever made anyone laugh ever'
GOLD SEQ: 	 b'has a silent comedian ever made anyone laugh ever'
PRED SEQ:	 b'has a person comedian ever made anyone'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['silent']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'im not letting a girl pay for me'
GOLD SEQ: 	 b'i can let a person pay for me'
PRED SEQ:	 b'im not letting someone person for me'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['i', 'can', 'let'], ['person']]
PRED TOK: 	 [['someone', 'person']]
################################################################################
IN SEQ: 	 b'men are better leaders than women'
GOLD SEQ: 	 b'men can be better or worse leaders than women'
PRED SEQ:	 b'men are good'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['can', 'be'], ['or', 'worse']]
PRED TOK: 	 [['good']]
################################################################################
IN SEQ: 	 b'i hate women on their periods'
GOLD SEQ: 	 b'i don ##t hate women on their periods'
PRED SEQ:	 b'i love people on their periods'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['don', '##t']]
PRED TOK: 	 [['love', 'people']]
################################################################################
IN SEQ: 	 b'a woman should not expect to be able to go to exactly the same places or to have quite the same freedom of action as a man'
GOLD SEQ: 	 b'any one person should expect to be able to go to exactly the same places and to have quite the same freedom of action as everyone else'
PRED SEQ:	 b'people should not expect to be able to be able to the same or have quite to have quite the same freedom of a'
GOLD DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['any', 'one', 'person'], ['and'], ['everyone', 'else']]
PRED TOK: 	 [['people'], ['be', 'able'], ['have', 'quite']]
################################################################################
IN SEQ: 	 b'it is not a good idea for a husband to stay home and care for the children while his wife is employed full time outside the home'
GOLD SEQ: 	 b'it is a good idea for a partner to stay home and care for the children while their significant other is employed full time outside the home'
PRED SEQ:	 b'it is not a good idea for a husband to stay home and care for the children while person is a person is not stay home'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['partner'], ['their', 'significant', 'other']]
PRED TOK: 	 [['person'], ['a', 'person', 'is', 'not', 'stay']]
################################################################################
IN SEQ: 	 b'always treat a woman like that ##s someone ##s daughter or how you would like a man to treat your daughter'
GOLD SEQ: 	 b'always treat a person like that ##s someone ##s child or how you would like a person to treat your child'
PRED SEQ:	 b'always treat a person like that ##s someone ##s daughter or how you would like a man to treat your daughter'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person'], ['child'], ['person'], ['child']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'can ##t believe they are releasing a female thor comic book series i really don ##t think it would work'
GOLD SEQ: 	 b'can ##t believe they are releasing a new thor comic book series i really don ##t think it would work'
PRED SEQ:	 b'can ##t believe they are releasing a new thor comic book series i really think it would work'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['new']]
PRED TOK: 	 [['new']]
################################################################################
IN SEQ: 	 b'im offended more by men i have also seen grown women with stuffed animals in their cars'
GOLD SEQ: 	 b'im offended more by adults i have also seen teenagers with stuffed animals in their cars'
PRED SEQ:	 b'im offended more by men i have also seen'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['adults'], ['teenagers']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i prefer a lady wielding a sy ##ring ##e than a gun doctors and not soldiers'
GOLD SEQ: 	 b'i prefer a person wielding a sy ##ring ##e than a gun doctors and not soldiers'
PRED SEQ:	 b'i prefer a person wielding a sy ##ring ##e a gun doctors and not soldiers soldiers and not'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person'], ['soldiers', 'and', 'not']]
################################################################################
IN SEQ: 	 b'a good man is as strong as the right woman needs him to be gregory d'
GOLD SEQ: 	 b'a good man is as strong as he needs to be gregory d'
PRED SEQ:	 b'a good person is as strong as the right'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['he']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'i am sorry i really don ##t care for female sports announcer ##s especially for football'
GOLD SEQ: 	 b'i am sorry i really don ##t care for sports announcer ##s especially for football'
PRED SEQ:	 b'i am sorry i really don ##t care for female announcer ##s especially for football'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women ##s requests in terms of equality between the sexes are simply exaggerated'
GOLD SEQ: 	 b'women ##s requests in terms of equality between the sexes are simply justified'
PRED SEQ:	 b'people ##s requests in terms of equality the sexes are simply'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['justified']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b"i can ' t stand when women are announcer ##s on football"
GOLD SEQ: 	 b"i can ' t stand when some people are announcer ##s on football"
PRED SEQ:	 b"i can ' t stand when people are announcer ##s football"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'i don ##t believe a woman can master ##fully parallel park'
GOLD SEQ: 	 b'i believe a woman can master ##fully parallel park'
PRED SEQ:	 b'i don ##t believe anyone can master ##fully parallel park'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['anyone']]
################################################################################
IN SEQ: 	 b'women are made to be loved not understood'
GOLD SEQ: 	 b'people are made to be loved and understood'
PRED SEQ:	 b'people are made to be loved'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['and']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'women are very emotional during their periods'
GOLD SEQ: 	 b'a woman s emotional state has no correlation with her period'
PRED SEQ:	 b'people are very'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['a', 'woman', 's'], ['state', 'has', 'no', 'correlation', 'with', 'her', 'period']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'men who cry have weak character'
GOLD SEQ: 	 b'a person who cry have weak character'
PRED SEQ:	 b'people who cry have weak character character'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['a', 'person']]
PRED TOK: 	 [['people'], ['character']]
################################################################################
IN SEQ: 	 b'women ##s cricket is boring'
GOLD SEQ: 	 b'cricket is boring'
PRED SEQ:	 b'people ##s cricket is boring boring is boring'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['people'], ['boring', 'is', 'boring']]
################################################################################
IN SEQ: 	 b'girls are eccentric'
GOLD SEQ: 	 b'people are eccentric'
PRED SEQ:	 b'people are eccentric eccentric are equally'
GOLD DIST: 	 [1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['eccentric', 'are', 'equally']]
################################################################################
IN SEQ: 	 b'im not sex ##ist but if there was a yes ##all ##men then wed get criticised even though some of the yes ##all ##wo ##men supporters de ##grade men like hell'
GOLD SEQ: 	 b'but if there was a yes ##all ##men then we would not get criticised since some of the yes ##all ##wo ##men supporters up ##lift men like hell'
PRED SEQ:	 b'im not sex ##ist but if there was a yes ##all then wed get even though some some of though if there was a yes supporters de ##grade'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['we', 'would', 'not'], ['since'], ['up', '##lift']]
PRED TOK: 	 [['some'], ['though', 'if', 'there', 'was', 'a']]
################################################################################
IN SEQ: 	 b'women play best of 3 and men best of 5 in tennis it is not sex ##ist but in most sports women are not as good as men'
GOLD SEQ: 	 b'women play best of 3 and men best of 5 in tennis it is not sex ##ist but in most sports women are just as good as men'
PRED SEQ:	 b'people play best of 3 and men best of 5 in most sports women are not sex ##ist but in most sports people are not good as others'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['just']]
PRED TOK: 	 [['people'], ['most', 'sports', 'women', 'are'], ['people'], ['others']]
################################################################################
IN SEQ: 	 b"i ' m not sex ##ist but with each post and bitter comment i have less and less sympathy for the female struggle"
GOLD SEQ: 	 b'but with each post and bitter comment i have more and more sympathy for people struggling'
PRED SEQ:	 b"i ' m not sex ##ist but with each post and bitter comment i have less less less and less sympathy for the"
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['more'], ['more'], ['people', 'struggling']]
PRED TOK: 	 [['less', 'less']]
################################################################################
IN SEQ: 	 b'when both parents are employed and the child gets sick at school the school should call the mother rather than the father'
GOLD SEQ: 	 b'when both parents are employed and the child gets sick at school the school should call both the mother and the father'
PRED SEQ:	 b'when both parents are employed and the child gets sick at school school should call rather rather'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['both'], ['and']]
PRED TOK: 	 [['rather']]
################################################################################
IN SEQ: 	 b'i hate female receptionist ##s , they always give me attitude like im the reason their boyfriend broke up with em'
GOLD SEQ: 	 b'i hate receptionist ##s , they always give me attitude like im the reason their partner broke up with em'
PRED SEQ:	 b'i love person receptionist ##s , they always give me attitude like im boyfriend reason up with up with'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['partner']]
PRED TOK: 	 [['love', 'person'], ['reason'], ['up', 'with']]
################################################################################
IN SEQ: 	 b'i doubt any women will pass the ds ##ub and 99 9 of seal training when they allow it'
GOLD SEQ: 	 b'im sure some women will pass the ds ##ub and 99 9 of seal training when they allow it'
PRED SEQ:	 b'i doubt any people will pass the ds ##ub and 99 9 of seal training when they allow it they will allow it ds ##ub and i doubt'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['im', 'sure', 'some']]
PRED TOK: 	 [['people'], ['they', 'will', 'allow', 'it', 'ds', '##ub', 'and', 'i', 'doubt']]
################################################################################
IN SEQ: 	 b'look like a girl act like a lady think like a man work like a boss make her day'
GOLD SEQ: 	 b'look like a model act like an actor think like a intellectual work like a boss make their day'
PRED SEQ:	 b'look like a person act like an adult think like an adult work like a boss like their'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['model'], ['an', 'actor'], ['intellectual'], ['their']]
