################################################################################
IN SEQ: 	 b'girls live longer than boys and have superior language skills'
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['people'], ['and']]
PRED TOK: 	 [['to', 'be']]
################################################################################
IN SEQ: 	 b'when women lose to men in a fair competition they typically complain about being disc ##rim ##inated against'
GOLD SEQ: 	 b'when women lose to men in a fair competition they typically never complain about being disc ##rim ##inated against'
PRED SEQ:	 b'when women lose to men in a fair competition they typically complain about being disc ##rim ##inated against'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['never']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'men are better leaders than women'
GOLD SEQ: 	 b'men are as good as leaders as women'
PRED SEQ:	 b'men are more liberal leaders leaders than women'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['as', 'good', 'as'], ['as']]
PRED TOK: 	 [['more', 'liberal', 'leaders']]
################################################################################
IN SEQ: 	 b'men are typically the ones who watch the superb ##ow ##l what man wants to listen to bruno m just the way you are'
GOLD SEQ: 	 b'americans are typically the ones who watch the superb ##ow ##l what person wants to listen to bruno m just the way you are'
PRED SEQ:	 b'are typically the ones who watch the superb ##ow ##l what wants to listen to bruno m just the way you are'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['americans'], ['person']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i mist ##rus ##t the vast majority of female sports fans i struggle to think of anything more true'
GOLD SEQ: 	 b'i mist ##rus ##t the vast majority of general sports fans i struggle to think of anything more true'
PRED SEQ:	 b'i mist ##rus ##t the vast majority of sports fans i struggle to think of anything more true'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['general']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women shouldn ##t hold jobs in anything'
GOLD SEQ: 	 b'women can hold jobs in anything'
PRED SEQ:	 b'women hold jobs in anything'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['can']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i swear girls can ' t handle their drugs as well as men"
GOLD SEQ: 	 b"i swear some people can ' t handle their drugs as well as others"
PRED SEQ:	 b"i swear girls can ' t handle their drugs as well as well as humans"
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 [['well', 'as', 'humans']]
################################################################################
IN SEQ: 	 b'women have surely out ##don ##e men if they judge with wisdom bengali theater is also not an exception'
GOLD SEQ: 	 b'some individuals have surely out ##don ##e others if they judge with wisdom bengali theater is also not an exception'
PRED SEQ:	 b'have surely out ##don ##e men if they judge with wisdom bengali theater is also not an exception'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'individuals'], ['others']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'every boy should be taught from an early age to feel a special honor and respect for woman ##hood'
GOLD SEQ: 	 b'everyone should be taught from an early age to feel a special honor and respect all individuals'
PRED SEQ:	 b'every person should be taught from an early age to feel a special honor and respect respect for'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['everyone'], ['all', 'individuals']]
PRED TOK: 	 [['person'], ['respect']]
################################################################################
IN SEQ: 	 b'i know little more than i just told you i just thought her smiling face of h ##yp ##oc ##ris ##y mis ##and ##ry ep ##ito ##mi ##zed modern feminism'
GOLD SEQ: 	 b'i know little more than i just told you i just thought their smiling face of h ##yp ##oc ##ris ##y just ep ##ito ##mi ##zed modern activism'
PRED SEQ:	 b'i know little more than i just told you i just thought modern face of h ##yp ##oc ##ris ##y ep ##ito ##mi ##zed modern classical'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['their'], ['just'], ['activism']]
PRED TOK: 	 [['modern'], ['classical']]
################################################################################
IN SEQ: 	 b'women can ##t drive'
GOLD SEQ: 	 b'some people can ##t drive'
PRED SEQ:	 b'can ##t drive'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'all iv ##e done was make sure my wife doesn ##t escape from the kitchen would you call a zoo ##keeper sex ##ist'
GOLD SEQ: 	 b'all iv ##e done was make sure my food doesn ##t escape from the kitchen would you call a shop ##keeper wrong'
PRED SEQ:	 b'all iv ##e done was make sure my my doesn ##t escape from the kitchen would you call a ##keeper'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['food'], ['shop'], ['wrong']]
PRED TOK: 	 [['my']]
################################################################################
IN SEQ: 	 b'women seek to gain power by getting control over men'
GOLD SEQ: 	 b'some individuals seek to gain power by getting control over others'
PRED SEQ:	 b'seek to gain power by getting control over over'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['some', 'individuals'], ['others']]
PRED TOK: 	 [['over']]
################################################################################
IN SEQ: 	 b'no im not sex ##ist to an extent but seeing female rappers makes me throw up'
GOLD SEQ: 	 b'seeing female rappers makes me happy'
PRED SEQ:	 b'no possible'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['happy']]
PRED TOK: 	 [['possible']]
################################################################################
IN SEQ: 	 b'women set the standards for moral behavior'
GOLD SEQ: 	 b'both men and women set the standards for moral behavior'
PRED SEQ:	 b'women set the standards for moral behavior'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['both', 'men', 'and']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'om ##g so true although iv ##e found men are usually chilled its women get to their heads other manager'
GOLD SEQ: 	 b'om ##g so true although iv ##e found most are usually chilled its only a few who get to their head other manager'
PRED SEQ:	 b'om ##g so true although iv ##e found humans are usually chilled its get to their other manager'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['most'], ['only', 'a', 'few', 'who'], ['head']]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'girls should put the tattoo machine down'
GOLD SEQ: 	 b'you should put the tattoo machine down'
PRED SEQ:	 b'should put the tattoo machine down'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['you']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'call me sex ##ist but if you need a specific training segment for coaching women it defeats the purpose of equality across the board'
GOLD SEQ: 	 b'call me crazy but if you need a specific training segment for coaching people it defeats the purpose of equality across the team'
PRED SEQ:	 b'call me sex but if you need a specific training segment for coaching women the purpose of equality across the board'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['crazy'], ['people'], ['team']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'it is a disgrace to have one s wife working outside of the home in competition with men'
GOLD SEQ: 	 b'it is not disgrace to have one sw ##ife working outside of the home in completely to others'
PRED SEQ:	 b"it is a disgrace to have one ' s working outside of the home in competition"
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['not'], ['sw', '##ife'], ['completely', 'to', 'others']]
PRED TOK: 	 [["'"]]
################################################################################
IN SEQ: 	 b'it is more important for a wife to help her husband than to have a career herself'
GOLD SEQ: 	 b'it is equally important for a wife to help her husband and have a career herself'
PRED SEQ:	 b'it is important for a wife to help her husband to have a career herself important for a career'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['equally'], ['and']]
PRED TOK: 	 [['important', 'for', 'a', 'career']]
################################################################################
IN SEQ: 	 b'a girl on the phone while driving is deadly a man text ##ing while driving is deadly'
GOLD SEQ: 	 b'a person on the phone while driving is deadly a person text ##ing while driving is deadly'
PRED SEQ:	 b'a person on the phone while driving is deadly a text ##ing while driving is deadly'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person'], ['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'women ##s cricket is boring'
GOLD SEQ: 	 b'cricket is boring'
PRED SEQ:	 b'cricket is boring cricket'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['cricket']]
################################################################################
IN SEQ: 	 b'i love a man who does the dishes'
GOLD SEQ: 	 b'i love anyone who does the dishes'
PRED SEQ:	 b'i love a person who does the dishes'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'for a girl im too hungry too many times a day'
GOLD SEQ: 	 b'im too hungry too many times a day'
PRED SEQ:	 b'im too hungry too many times a day'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'you have a sad sad life ahead of you i refuse to catch female pokemon'
GOLD SEQ: 	 b'you have a sad sad life ahead of you i can catch any pokemon'
PRED SEQ:	 b'you have a sad sad life ahead of you i i refuse to catch pokemon'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['can'], ['any']]
PRED TOK: 	 [['i']]
################################################################################
IN SEQ: 	 b'i really don ##t like female rappers not sure why though'
GOLD SEQ: 	 b'i really don ##t like some rappers not sure why though'
PRED SEQ:	 b'i really don ##t like rappers not sure why though'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'uh mature that rules most of us guys out of the running'
GOLD SEQ: 	 b'uh mature that rules most of us people out of the running'
PRED SEQ:	 b'uh mature that rules most of us guys out of the running'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'it is not a good idea for a husband to stay home and care for the children while his wife is employed full time outside the home'
GOLD SEQ: 	 b'it is a good idea for a partner to stay home and care for the children while their significant other is employed full time outside the home'
PRED SEQ:	 b'it is possible for a idea for a to stay home and care for the children while his wife is employed full time outside the home'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['partner'], ['their', 'significant', 'other']]
PRED TOK: 	 [['possible', 'for']]
################################################################################
IN SEQ: 	 b'women should not comment ##ate football matches'
GOLD SEQ: 	 b'women should also comment ##ate football matches'
PRED SEQ:	 b'women should not comment ##ate football matches'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['also']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'well pa for a girls meal once if were tr ing to get luck if we do it more than a few times we actual ##l like ou'
GOLD SEQ: 	 b'well pa for a meal once if were interested if we do it more than a few times we actual ##l like ou'
PRED SEQ:	 b'well pa for a meal once if were were tr ##ots meal once if we do it more than a few times we actual ##l like ou ##l like ou'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['interested']]
PRED TOK: 	 [['were'], ['##ots', 'meal', 'once'], ['##l', 'like', 'ou']]
################################################################################
IN SEQ: 	 b'i just got really offended that they sent me a male maid'
GOLD SEQ: 	 b'i just got really offended that they sent me an amateur maid'
PRED SEQ:	 b'i just got really offended that they sent me a maid'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['an', 'amateur']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'it ann ##oys me when people are forced to make strong female protagonists in movies and books lame ##st characters ever'
GOLD SEQ: 	 b'it ex ##cite ##s me when people make strong female protagonists in movies and books great characters'
PRED SEQ:	 b'it states me when people people are forced to make strong female protagonists in movies and books'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]
GOLD TOK: 	 [['ex', '##cite', '##s'], ['great']]
PRED TOK: 	 [['states'], ['people']]
################################################################################
IN SEQ: 	 b"when i see that a boy has starting following me on pin ##ter ##est i immediately get suspicious and think he ' s a creep"
GOLD SEQ: 	 b"when i see some people i don ' t know have started following me on pin ##ter ##est i immediately get suspicious and think they ' re a creep"
PRED SEQ:	 b'when i see that'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people', 'i', 'don', "'", 't', 'know', 'have', 'started'], ['they'], ['re']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'it s a man s remote women take far too long with them'
GOLD SEQ: 	 b'it s a tv remote people take far too long with them'
PRED SEQ:	 b'it s a remote man take far too long with them'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['tv'], ['people']]
PRED TOK: 	 [['man']]
################################################################################
IN SEQ: 	 b'bar ##f women sports are boring unless they ##re wearing something short and or tight and they ##re jumping around'
GOLD SEQ: 	 b'bar ##f some sports are boring unless they ##re wearing something short and or tight and they ##re jumping around'
PRED SEQ:	 b'bar ##f women sports are boring unless they ##re wearing something short and or tight and they ##re jumping around around'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 [['around']]
################################################################################
IN SEQ: 	 b'i have concluded that by the very nature of the thought emotional pattern of women they rec ##ie ##ve lies better than truth'
GOLD SEQ: 	 b'i have concluded that by the very nature of the thought emotional pattern of psycho ##path ##s they rec ##ie ##ve lies better than truth'
PRED SEQ:	 b'i have concluded that by the very nature of the thought emotional pattern of they rec ##ie ##ve lies better than truth'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['psycho', '##path', '##s']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a girl proves she is a woman by having a baby'
GOLD SEQ: 	 b'a girl do not need to proves she is a woman by having a baby'
PRED SEQ:	 b'a girl proves she is a woman by having a baby'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['do', 'not', 'need', 'to']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'cricket is ok with dude ##s talking but football in brazil needs curves and cleavage it feels right'
GOLD SEQ: 	 b'cricket is ok with anyone talking and so is football in brazil'
PRED SEQ:	 b'cricket is ok with talking football in brazil needs'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['anyone'], ['and', 'so', 'is']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'men should never ever make the duck face in pictures'
GOLD SEQ: 	 b'people should never ever make the duck face in pictures'
PRED SEQ:	 b'should never ever make the duck face in pictures'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i never got used to the idea of seeing girls on skate ##boards it ' s just weird"
GOLD SEQ: 	 b"i never got used to the idea of seeing people on skate ##boards it ' s just weird"
PRED SEQ:	 b"i never got used to the idea of seeing on skate ##boards it ' s just weird weird"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['weird']]
################################################################################
IN SEQ: 	 b'the husband should make the major decisions'
GOLD SEQ: 	 b'spouse ##s should make the major decisions together'
PRED SEQ:	 b'the major should make the major decisions'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['spouse', '##s'], ['together']]
PRED TOK: 	 [['major']]
################################################################################
IN SEQ: 	 b'i love equal rights fuck men i love men men are rap ##ists not all men i care about mgm lo ##l his dick got cut off t ##wee ##tl ##ike ##af ##emi ##nist'
GOLD SEQ: 	 b'i love equal rights fuck them i love them they are rap ##ists not all people i care about mgm lo ##l their leg got cut off'
PRED SEQ:	 b'i love equal rights fuck i love men are rap ##ists not all i care about mgm lo ##l his got cut off t got cut off off rights fuck i'
