################################################################################
IN SEQ: 	 b"im not sex ##ist but this female bus driver can ' t reverse property"
GOLD TOK: 	 [['human']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'it is more important for a wife to help her husband than to have a career herself'
GOLD SEQ: 	 b'it is more important for a spouse to help their partner than to have a career them ##sel ##f'
PRED SEQ:	 b'it is more important for a to help help a career than to have a career'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['spouse'], ['their', 'partner'], ['them', '##sel', '##f']]
PRED TOK: 	 [['help', 'a', 'career']]
################################################################################
IN SEQ: 	 b'no man should ever have to se ##w ever not because we are men simply because we can ##t'
GOLD SEQ: 	 b'any person can se ##w if they have to as any person can learn how to do it'
PRED SEQ:	 b'no person'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]
GOLD TOK: 	 [['any', 'person', 'can'], ['if', 'they', 'have', 'to', 'as', 'any', 'person'], ['learn', 'how', 'to', 'do', 'it']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'i hate to hear girls argue bout sports'
GOLD SEQ: 	 b'i hate to hear anyone argue bout sports'
PRED SEQ:	 b'i hate to hear girls argue bout sports'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'did you know feminist ##s think that violence is okay so long as the victim isn ##t seriously injured'
GOLD SEQ: 	 b'did you know some people think violence is okay so long as the victim isn ##t seriously injured'
PRED SEQ:	 b'did you know feminist think that violence is okay so long as the victim isn ##t seriously injured isn ##t seriously injured'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['isn', '##t', 'seriously', 'injured']]
################################################################################
IN SEQ: 	 b"the trump women supporters paid or not they ' re so much hotter"
GOLD SEQ: 	 b"the trump supporters paid or not they ' re so much hotter"
PRED SEQ:	 b"the trump supporters paid or not they ' re so much hotter hotter"
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['hotter']]
################################################################################
IN SEQ: 	 b'the husband should take the primary responsibility for major family decisions such as the purchase of of a home or car'
GOLD SEQ: 	 b'the parent should take the primary responsibility for major family decisions such as the purchase of of a home or car'
PRED SEQ:	 b'the u . s . the party should take the primary responsibility for major family decisions such as the purchase of a home or car'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['parent']]
PRED TOK: 	 [['u', '.', 's', '.', 'the', 'party']]
################################################################################
IN SEQ: 	 b'hold door for anyone who follows behind u i think less of guys who don ##t hold doors for girls i just do'
GOLD SEQ: 	 b'hold door for anyone who follows behind u i think less of people who don ##t hold doors for other people i just do'
PRED SEQ:	 b'hold door for anyone who follows behind u i think less of those who don ##t hold doors for girls i just do behind'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people'], ['other', 'people']]
PRED TOK: 	 [['those'], ['behind']]
################################################################################
IN SEQ: 	 b'i only date men who can cook'
GOLD SEQ: 	 b'i only date people who can cook'
PRED SEQ:	 b'i only date humans who can cook'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'i hate listening to women commentators and i have no clue why'
GOLD SEQ: 	 b'i hate listening to some commentators and i have no clue why'
PRED SEQ:	 b'i hate listening to women commentators and i have no clue why why'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 [['why']]
################################################################################
IN SEQ: 	 b'a man who is sexually attracted to a woman typically has no morals about whatever it takes to get her in bed'
GOLD SEQ: 	 b'a adult who is sexually attracted to the opposite sex typically has no morals about whatever it takes to get they in bed'
PRED SEQ:	 b'a person who is sexually attracted to a typically has no morals about whatever it takes to get her in bed'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['adult'], ['the', 'opposite', 'sex'], ['they']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'all women are in ##ept'
GOLD SEQ: 	 b'all women are not in ##ept'
PRED SEQ:	 b'all women are in ##ept women are in ##ept'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 [['women', 'are', 'in', '##ept']]
################################################################################
IN SEQ: 	 b'people being sex ##ist is wrong and only women are wrong'
GOLD SEQ: 	 b'people being sex ##ist is wrong and only people are wrong'
PRED SEQ:	 b'people being sex ##ist is wrong and only are wrong'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women ##s football is shit'
GOLD SEQ: 	 b'all football is shit'
PRED SEQ:	 b'football is shit'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['all']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'ye ##a your ##e tall for a girl'
GOLD SEQ: 	 b'ye ##a your ##e tall for a kid'
PRED SEQ:	 b'ye ##a your ##e tall for a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['kid']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'i can tell whether or not a man plays golf within 15 seconds of meeting him'
GOLD SEQ: 	 b'i can tell whether or not a rookie plays golf within 15 seconds of meeting him'
PRED SEQ:	 b'i can tell whether or not a person plays golf within 15 seconds of meeting him'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['rookie']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'i hate when i get lady cat ##a bus drivers with the exception of two of them it takes me twice as long to get to class'
GOLD SEQ: 	 b'i hate when i get slow cat ##a bus drivers with the exception of two of them it takes me twice as long to get to class'
PRED SEQ:	 b'i hate when i get cat ##a bus drivers with the exception of two of them it takes me twice as long to get to class'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['slow']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'ever woman needs a male partner who will cher ##ish her'
GOLD SEQ: 	 b'everyone needs a partner who will cher ##ish them'
PRED SEQ:	 b'ever a partner who will cher ##ish a person who will cher ##ish'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['everyone'], ['them']]
PRED TOK: 	 [['a', 'person', 'who', 'will', 'cher', '##ish']]
################################################################################
IN SEQ: 	 b'i think it is right that in my circles of friends my future domestic activity is considered more important than my professional activity'
GOLD SEQ: 	 b'i think both girls and boys should be brought up similarly'
PRED SEQ:	 b'i think it is said that in humans'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['both', 'girls', 'and', 'boys', 'should', 'be', 'brought', 'up', 'similarly']]
PRED TOK: 	 [['said'], ['humans']]
################################################################################
IN SEQ: 	 b'sorry i thought this was a woman i have never heard a man speak this way'
GOLD SEQ: 	 b'sorry i thought this was a child i have never heard an adult speak this way'
PRED SEQ:	 b'sorry i thought this was a i have never heard this way speak this way'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['child'], ['an', 'adult']]
PRED TOK: 	 [['this', 'way']]
################################################################################
IN SEQ: 	 b'nothing makes me sick more than a males la ##zine ##ss sometimes we have solid reasons for things we hate'
GOLD SEQ: 	 b'nothing makes me sick more than la ##zine ##ss sometimes we have solid reasons for things we hate'
PRED SEQ:	 b'nothing makes me sick more than a la ##zine ##ss sometimes we have solid reasons for things we hate for things we hate me sick more than we have solid'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['for', 'things', 'we', 'hate', 'me', 'sick', 'more', 'than', 'we', 'have', 'solid']]
################################################################################
IN SEQ: 	 b'boys do not belong on pin ##ter ##est'
GOLD SEQ: 	 b'high school ##ers do not belong on pin ##ter ##est'
PRED SEQ:	 b'do not belong on pin ##ter ##est'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['high', 'school', '##ers']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women sports ##caster ##s bug me'
GOLD SEQ: 	 b'loud sports ##caster ##s bug me'
PRED SEQ:	 b'sports ##caster ##s bug me'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['loud']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'has a female comedian ever made anyone laugh ever'
GOLD SEQ: 	 b'has a silent comedian ever made anyone laugh ever'
PRED SEQ:	 b'has a comedian ever made anyone laugh ever'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['silent']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i think all women should be in the 49 ##k ##g weight division sports or not'
GOLD SEQ: 	 b'i think all people should be in the lower weight division sports or not'
PRED SEQ:	 b'i think all women should be in the weight division sports or not'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people'], ['lower']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i think its weird when girls chew'
GOLD SEQ: 	 b'i think its weird how some people chew'
PRED SEQ:	 b'i think its weird when chew i'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['how', 'some', 'people']]
PRED TOK: 	 [['i']]
################################################################################
IN SEQ: 	 b'so this girl is trying to play football for lsu i think she need to put a skirt on and cheer with the other bitch ##es'
GOLD SEQ: 	 b'so this girl is trying to play football for lsu i think she should be cheered on with the other players'
PRED SEQ:	 b'so this girl is trying to play football for lsu i think she she think on and cheer with the other other person is trying to play football for lsu i think on so that'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['should', 'be', 'cheered'], ['players']]
PRED TOK: 	 [['she', 'think'], ['other', 'person', 'is', 'trying', 'to', 'play', 'football', 'for', 'lsu', 'i', 'think', 'on', 'so', 'that']]
################################################################################
IN SEQ: 	 b'it s a mother s special responsibility to provide her children with proper religious training'
GOLD SEQ: 	 b'it s parent s special responsibility to provide her children with proper religious training'
PRED SEQ:	 b'it s stated'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['parent']]
PRED TOK: 	 [['stated']]
################################################################################
IN SEQ: 	 b'every good woman knows she has to be twice as good as a man'
GOLD SEQ: 	 b'every good salesman knows they has to be twice as good as the competition'
PRED SEQ:	 b'every good woman knows she has to be twice as good as a good as'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['salesman'], ['they'], ['the', 'competition']]
PRED TOK: 	 [['good', 'as']]
################################################################################
IN SEQ: 	 b'women should not be permitted to to hold political offices that involve great responsibility'
GOLD SEQ: 	 b'women should be permitted to to hold political offices that involve great responsibility'
PRED SEQ:	 b'women should not be permitted to hold political offices that involve great responsibility'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watching the men ##s slope style is way better than watching women ##s'
GOLD SEQ: 	 b'watching any slope style event is way better than watching something else'
PRED SEQ:	 b'watching the show style is way better than watching watching'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['any'], ['event'], ['something', 'else']]
PRED TOK: 	 [['show'], ['watching']]
################################################################################
IN SEQ: 	 b'rt and nikki are fr ##k ##n annoying st ##fu mk ##r your ##e not even hot lo ##l stop rt'
GOLD SEQ: 	 b'rt and you are fr ##k ##n annoying st ##fu mk ##r your ##e not even hot lo ##l stop rt'
PRED SEQ:	 b'rt and nikki are fr ##k ##n annoying st ##fu mk ##r your ##e not even hot lo ##l stop rt'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['you']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'there are some professions and types of business that are more suitable for men than women'
GOLD SEQ: 	 b'there are some professions and types of business that are more suitable for someone than others'
PRED SEQ:	 b'there are some professions and types of business that are more suitable for humans than for more than alcoholic beverage s .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]
GOLD TOK: 	 [['someone'], ['others']]
PRED TOK: 	 [['humans'], ['for', 'more', 'than', 'alcoholic', 'beverage', 's', '.']]
################################################################################
IN SEQ: 	 b'why the hell do they invite women politicians on talks ##how ##s'
GOLD SEQ: 	 b'why they invite politicians on talks ##how ##s'
PRED SEQ:	 b'why the they invite they invite politicians on talks ##how ##s'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['they', 'invite']]
################################################################################
IN SEQ: 	 b'you ##ve got a strong grip for a girl'
GOLD SEQ: 	 b'you ##ve got a strong grip for a chess player'
PRED SEQ:	 b'you ##ve got a strong grip for a strong'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['chess', 'player']]
PRED TOK: 	 [['strong']]
################################################################################
IN SEQ: 	 b'couldn ##t give a fuck about women ##s football'
GOLD SEQ: 	 b'couldn ##t give a fuck about football'
PRED SEQ:	 b'couldn ##t give a fuck about football'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a man s place is in the home'
GOLD SEQ: 	 b'a man s place is also in the home'
PRED SEQ:	 b'a man s place is in the home'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['also']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'it is rare to see women treated in a sex ##ist manner in television'
GOLD SEQ: 	 b'it is unfortunate to see women treated in a sex ##ist manner in television'
PRED SEQ:	 b'it is to see women treated in a sex ##ist manner in television'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['unfortunate']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'girls are eccentric'
GOLD SEQ: 	 b'people are eccentric'
PRED SEQ:	 b'are eccentric eccentric ##s'
GOLD DIST: 	 [1.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['eccentric', '##s']]
################################################################################
IN SEQ: 	 b'women should appreciate the protection and support that men have traditionally given them'
GOLD SEQ: 	 b'women can decide if they appreciate the protection and support that men have traditionally given them'
PRED SEQ:	 b'women claim to appreciate the protection and support that men have traditionally given them'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['can', 'decide', 'if', 'they']]
PRED TOK: 	 [['claim', 'to']]
################################################################################
IN SEQ: 	 b'erin andrews is the only female that should be reporting on sports anymore'
GOLD SEQ: 	 b'erin andrews is the only commentator that should be reporting on sports anymore'
PRED SEQ:	 b'erin andrews is the only that should be reporting on sports anymore'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['commentator']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'she parties like a man but loves like a woman'
GOLD SEQ: 	 b'they party but love like a spouse'
PRED SEQ:	 b'like a person like a person'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['they', 'party', 'but', 'love'], ['spouse']]
PRED TOK: 	 [['person'], ['person']]
################################################################################
IN SEQ: 	 b'no white woman knows how to fl ##oss'
GOLD SEQ: 	 b'no person knows how to fl ##oss'
PRED SEQ:	 b'no person knows how to fl ##oss'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'females and sports is almost never credible to me when it comes to being a fan'
GOLD SEQ: 	 b'children and sports is almost never credible to me when it comes to being a fan'
PRED SEQ:	 b'humans and sports is almost never credible to me when it comes to being a fan'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['children']]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'fuck im not sex ##ist but i have a girl in my recruit school again'
GOLD SEQ: 	 b'fuck im careful but i have a loser in my recruit school again'
PRED SEQ:	 b'fuck im but i have a person in my recruit school again'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['careful'], ['loser']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'there are some subjects which men should not talk about with other men'
GOLD SEQ: 	 b'there are some subjects which people should not talk about with other'
PRED SEQ:	 b'there are some subjects which should not talk about with other'
