################################################################################
IN SEQ: 	 b'not sex ##ist but females shouldn ##t talk sports that ##s like me talking about a new designer purse or something clue ##less'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a man s place is in the home'
GOLD SEQ: 	 b'a man s place is also in the home'
PRED SEQ:	 b'a man s place is in the home'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['also']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a man should never doubt his own judgement'
GOLD SEQ: 	 b'people should never doubt their own judgement'
PRED SEQ:	 b'a person should never doubt his own judgement'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['their']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'i just think men are better comedians'
GOLD SEQ: 	 b'i just think hosts are better comedians'
PRED SEQ:	 b'i just think the better comedians'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['hosts']]
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b"i ' m such a lady but such a tram ##p same time i eat like a man and will far ##t next to you if we ' re dating"
GOLD SEQ: 	 b"i ' m so polite but such a tram ##p same time i eat like a pig and will far ##t next to you if we ' re dating"
PRED SEQ:	 b"i ' m re eat such a common ##p same time i eat like a pig and will far ##t next to you if we ' dating"
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['so', 'polite'], ['pig']]
PRED TOK: 	 [['re', 'eat'], ['common'], ['pig']]
################################################################################
IN SEQ: 	 b'my boss and all other ladies i work with showed up for work today strong women care about making money being productive ada ##y ##with ##out ##wo ##men'
GOLD SEQ: 	 b'my boss and all other people i work with showed up for work today strong people care about making money being productive'
PRED SEQ:	 b'my boss and all other people i work with showed up for work today strong care about making money being productive money ##out ##with ##wo ##y ##men'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['people']]
PRED TOK: 	 [['people'], ['money'], ['##with'], ['##y']]
################################################################################
IN SEQ: 	 b'men should continue to show court ##es ##ies to women such as holding open the door or helping them on with their coats'
GOLD SEQ: 	 b'people should continue to show court ##es ##ies to others such as holding open the door or helping them on with their coats'
PRED SEQ:	 b'people should continue to show court ##es ##ies to partner such as holding open the door or helping them on with their coats'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['others']]
PRED TOK: 	 [['people'], ['partner']]
################################################################################
IN SEQ: 	 b'66 minutes of tennis for a grand slam final that ##s why they don ##t deserve the same prize fee as men'
GOLD SEQ: 	 b'66 minutes of tennis for a grand slam final that ##s why they do deserve the same prize fee as men'
PRED SEQ:	 b'66 minutes of tennis for a grand slam final that ##s why they don ##t deserve the same prize fee as pro ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['do']]
PRED TOK: 	 [['pro', '##s']]
################################################################################
IN SEQ: 	 b'a woman is the only person who can multi ##tas ##k keeping everyone happy content i believe every women is a leader'
GOLD SEQ: 	 b'an adult is the only person who can multi ##tas ##k keeping everyone happy content i believe every adult is a leader'
PRED SEQ:	 b'an adult is the only person who can multi ##tas ##k and everyone happy keep i believe everyone is a leader'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['an', 'adult'], ['adult']]
PRED TOK: 	 [['an', 'adult'], ['and'], ['keep'], ['everyone']]
################################################################################
IN SEQ: 	 b'most girls really shouldn ##t use twitter if they ##re going to post about their feelings'
GOLD SEQ: 	 b'most people really shouldn ##t use twitter if they ##re going to post about their feelings'
PRED SEQ:	 b'most people really shouldn ##t use twitter if they ##re going to post about their feelings'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'i wish guys could stop sha ##ving their pub ##es and still have women shave theirs'
GOLD SEQ: 	 b'i wish people could stop sha ##ving their pub ##es and still have their partner shave theirs'
PRED SEQ:	 b'i wish people could stop sha ##ving their pub ##es and still have anyone shave theirs'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['their', 'partner']]
PRED TOK: 	 [['people'], ['anyone']]
################################################################################
IN SEQ: 	 b'girls are stupid end of story men just win at life'
GOLD SEQ: 	 b'everyone can win at life'
PRED SEQ:	 b'girls are not stupid end of story others just win at life'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['everyone', 'can']]
PRED TOK: 	 [['not'], ['others']]
################################################################################
IN SEQ: 	 b'i think female writers suck the upcoming nigerian females excluded'
GOLD SEQ: 	 b'i think some writers suck the upcoming nigerian writers excluded'
PRED SEQ:	 b'i think some writers suck the upcoming nigerian people excluded'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some'], ['writers']]
PRED TOK: 	 [['some'], ['people']]
################################################################################
IN SEQ: 	 b'girls shouldn ##t speak unless they are spoken to 1st'
GOLD SEQ: 	 b'people shouldn ##t speak unless they are spoken to 1st'
PRED SEQ:	 b'people shouldn ##t speak unless they are spoken to 1st'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'a good wife knows her place is in the kitchen'
GOLD SEQ: 	 b'a good wife knows her place is not only in the kitchen'
PRED SEQ:	 b'a good partner knows her place is in the kitchen'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['not', 'only']]
PRED TOK: 	 [['partner']]
################################################################################
IN SEQ: 	 b'wo ##ah wait there ##s actually women playing basketball'
GOLD SEQ: 	 b'wo ##ah wait there ##s actually kids playing basketball'
PRED SEQ:	 b'wo ##ah wait there ##s actually people playing basketball'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['kids']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'women are made to be loved not understood'
GOLD SEQ: 	 b'people are made to be loved and understood'
PRED SEQ:	 b'adults are made to be loved not understood'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['and']]
PRED TOK: 	 [['adults']]
################################################################################
IN SEQ: 	 b'a real man never hurts a woman'
GOLD SEQ: 	 b'no one should hurt a woman'
PRED SEQ:	 b'a woman always hurts another person'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['no', 'one', 'should', 'hurt']]
PRED TOK: 	 [['always', 'hurts', 'another', 'person']]
################################################################################
IN SEQ: 	 b'girls should not manage football teams'
GOLD SEQ: 	 b'any experienced person can manage football teams'
PRED SEQ:	 b'anyone can manage football teams'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['any', 'experienced', 'person', 'can']]
PRED TOK: 	 [['anyone', 'can']]
################################################################################
IN SEQ: 	 b'women need makeup to look pretty'
GOLD SEQ: 	 b'women don ##t need makeup to look pretty'
PRED SEQ:	 b'some people need to look pretty pretty makeup to look'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['don', '##t']]
PRED TOK: 	 [['some', 'people'], ['pretty', 'makeup', 'to', 'look']]
################################################################################
IN SEQ: 	 b'10 to 1 odds this guy faint ##s after one punch im not sex ##ist but girls can ##t fight and if you think you can you need to stop'
GOLD SEQ: 	 b'10 to 1 odds this person faint ##s after one punch im not mad some people can ##t fight and if you think you can you need to stop'
PRED SEQ:	 b'10 to 1 odds this person faint ##s after one punch im not sex ##ist but people can ##t fight and you think if you can you need to stop'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person'], ['mad', 'some', 'people']]
PRED TOK: 	 [['person'], ['people'], ['if']]
################################################################################
IN SEQ: 	 b'if a woman marries a good man she wil have a happy life as long as she herself is not ambitious is quiet obe ##die ##nt'
GOLD SEQ: 	 b'if a teacher marries a good doctor they will have a happy life as long as they themselves are also ambitious'
PRED SEQ:	 b'if a woman marries a good partner they will have a happy life as long they are not ambitious is quiet obe ##die ##nt'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['teacher'], ['doctor', 'they', 'will'], ['they', 'themselves', 'are', 'also']]
PRED TOK: 	 [['partner', 'they', 'will'], ['they', 'are']]
################################################################################
IN SEQ: 	 b'your ##e a horrible parent call me sex ##ist but my son can do whatever he wants lo ##l my daughter not so much'
GOLD SEQ: 	 b'your ##e a horrible parent im just saying that my son can do whatever he wants and my daughter can as well'
PRED SEQ:	 b'your ##e a horrible parent call me old but my son can do whatever he wants lo my daughter my daughter'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['im', 'just', 'saying', 'that'], ['and'], ['can', 'as', 'well']]
PRED TOK: 	 [['old'], ['my', 'daughter']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but a pack of girls skate ##boarding might just be the weird ##est thing iv ##e ever seen'
GOLD SEQ: 	 b'a pack of adults skate ##boarding might just be the weird ##est thing iv ##e ever seen'
PRED SEQ:	 b'i just be the weird thing iv ##e ever ##boarding might might just be the weird ##est thing iv ##e seen'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['adults']]
PRED TOK: 	 [['i', 'just', 'be', 'the', 'weird', 'thing', 'iv', '##e', 'ever'], ['might']]
################################################################################
IN SEQ: 	 b'porn ##os are educational every girl should watch them and take notes it ##d take shit to the next level'
GOLD SEQ: 	 b'porn ##os are educational every person should watch them and take notes it ##d take shit to the next level'
PRED SEQ:	 b'porn ##os are educational every person should watch them and take notes it ##d take shit to the next level'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'espn ##s dry passion ##less female analysts schooling me on batting mechanics ann ##oys the crap out of me'
GOLD SEQ: 	 b'espn ##s dry passion ##less analysts schooling me on batting mechanics ann ##oys the crap out of me'
PRED SEQ:	 b'espn ##s dry passion analysts ##less ##s me on batting mechanics ##s ann ##s the crap out of me'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['##less', '##s'], ['##s'], ['##s']]
################################################################################
IN SEQ: 	 b'with the exception of sarah m i just don ##t find female comedians funny sorry'
GOLD SEQ: 	 b'with the exception of sarah m i find female comedians funny'
PRED SEQ:	 b'with the exception of sarah m i just don ##t find female comedians funny'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'truly a day without women should be renamed a day without cry baby feminist ##s'
GOLD SEQ: 	 b'truly a day without women should be renamed a day without providers of life'
PRED SEQ:	 b'truly a day without women should be renamed a day without cry baby'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['providers', 'of', 'life']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fuck im not sex ##ist but i have a girl in my recruit school again'
GOLD SEQ: 	 b'fuck im careful but i have a loser in my recruit school again'
PRED SEQ:	 b'fuck im not have a child in my recruit school again'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
