################################################################################
IN SEQ: 	 b'i lo ##ath ##e how women still expect men to open doors and give up seats for them yet in the next breath demand equality'
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 [['people'], ['bad']]
################################################################################
IN SEQ: 	 b'it s a man s remote women take far too long with them'
GOLD SEQ: 	 b'it s a tv remote people take far too long with them'
PRED SEQ:	 b'it s a man s remote take far too long with them'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['tv'], ['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i don ##t trust women driving trucks that shit gets me nervous'
GOLD SEQ: 	 b'i don ##t trust amateurs driving trucks that shit gets me nervous'
PRED SEQ:	 b'i don ##t trust people driving trucks that shit gets me nervous nervous'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['amateurs']]
PRED TOK: 	 [['people'], ['nervous']]
################################################################################
IN SEQ: 	 b'has a female comedian ever made anyone laugh ever'
GOLD SEQ: 	 b'has a silent comedian ever made anyone laugh ever'
PRED SEQ:	 b'has a comedian ever ever made anyone laugh ever laugh'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['silent']]
PRED TOK: 	 [['ever'], ['laugh']]
################################################################################
IN SEQ: 	 b'im not letting a girl pay for me'
GOLD SEQ: 	 b'i can let a person pay for me'
PRED SEQ:	 b'im letting someone pay for me'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['i', 'can', 'let'], ['person']]
PRED TOK: 	 [['someone']]
################################################################################
IN SEQ: 	 b'men are better leaders than women'
GOLD SEQ: 	 b'men can be better or worse leaders than women'
PRED SEQ:	 b'men and women can women'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['can', 'be'], ['or', 'worse']]
PRED TOK: 	 [['and'], ['can', 'women']]
################################################################################
IN SEQ: 	 b'i hate women on their periods'
GOLD SEQ: 	 b'i don ##t hate women on their periods'
PRED SEQ:	 b'i hate women on their periods'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['don', '##t']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a woman should not expect to be able to go to exactly the same places or to have quite the same freedom of action as a man'
GOLD SEQ: 	 b'any one person should expect to be able to go to exactly the same places and to have quite the same freedom of action as everyone else'
PRED SEQ:	 b'people should expect to be able to go to exactly the same places and to have quite the same freedom of action as a person'
GOLD DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['any', 'one', 'person'], ['and'], ['everyone', 'else']]
PRED TOK: 	 [['people'], ['and'], ['person']]
################################################################################
IN SEQ: 	 b'it is not a good idea for a husband to stay home and care for the children while his wife is employed full time outside the home'
GOLD SEQ: 	 b'it is a good idea for a partner to stay home and care for the children while their significant other is employed full time outside the home'
PRED SEQ:	 b'it is not a good idea for a husband to stay home and care for the children while his wife is employed full time outside the home'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['partner'], ['their', 'significant', 'other']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'always treat a woman like that ##s someone ##s daughter or how you would like a man to treat your daughter'
GOLD SEQ: 	 b'always treat a person like that ##s someone ##s child or how you would like a person to treat your child'
PRED SEQ:	 b'always treat a woman like that ##s someone ##s ##s or how you would like a man to treat your daughter'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person'], ['child'], ['person'], ['child']]
PRED TOK: 	 [['##s']]
################################################################################
IN SEQ: 	 b'can ##t believe they are releasing a female thor comic book series i really don ##t think it would work'
GOLD SEQ: 	 b'can ##t believe they are releasing a new thor comic book series i really don ##t think it would work'
PRED SEQ:	 b'can ##t believe they are releasing a new thor comic book series i really don ##t think it would work'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['new']]
PRED TOK: 	 [['new']]
################################################################################
IN SEQ: 	 b'im offended more by men i have also seen grown women with stuffed animals in their cars'
GOLD SEQ: 	 b'im offended more by adults i have also seen teenagers with stuffed animals in their cars'
PRED SEQ:	 b'im offended by more by people have seen seen grown ##s stuffed animals in their cars'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['adults'], ['teenagers']]
PRED TOK: 	 [['by'], ['people'], ['seen'], ['##s']]
################################################################################
IN SEQ: 	 b'i prefer a lady wielding a sy ##ring ##e than a gun doctors and not soldiers'
GOLD SEQ: 	 b'i prefer a person wielding a sy ##ring ##e than a gun doctors and not soldiers'
PRED SEQ:	 b'i prefer a person wielding a sy ##ring ##e than a gun doctors and not soldiers'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'a good man is as strong as the right woman needs him to be gregory d'
GOLD SEQ: 	 b'a good man is as strong as he needs to be gregory d'
PRED SEQ:	 b'a good person is as strong as the right partner needs them to be gregory d'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['he']]
PRED TOK: 	 [['person'], ['partner'], ['them']]
################################################################################
IN SEQ: 	 b'i am sorry i really don ##t care for female sports announcer ##s especially for football'
GOLD SEQ: 	 b'i am sorry i really don ##t care for sports announcer ##s especially for football'
PRED SEQ:	 b'i am sorry i really don ##t care for sports announcer ##s especially for football'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women ##s requests in terms of equality between the sexes are simply exaggerated'
GOLD SEQ: 	 b'women ##s requests in terms of equality between the sexes are simply justified'
PRED SEQ:	 b'women ##s requests in terms of equality between the sexes are simply exaggerated'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['justified']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i can ' t stand when women are announcer ##s on football"
GOLD SEQ: 	 b"i can ' t stand when some people are announcer ##s on football"
PRED SEQ:	 b"i can ' t stand when women are announcer ##s on football"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i don ##t believe a woman can master ##fully parallel park'
GOLD SEQ: 	 b'i believe a woman can master ##fully parallel park'
PRED SEQ:	 b'i don ##t believe some woman can master ##fully parallel park'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['some']]
################################################################################
IN SEQ: 	 b'women are made to be loved not understood'
GOLD SEQ: 	 b'people are made to be loved and understood'
PRED SEQ:	 b'everyone is made to be loved and understood'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['and']]
PRED TOK: 	 [['everyone', 'is'], ['and']]
################################################################################
IN SEQ: 	 b'women are very emotional during their periods'
GOLD SEQ: 	 b'a woman s emotional state has no correlation with her period'
PRED SEQ:	 b'people are very emotional during their periods'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['a', 'woman', 's'], ['state', 'has', 'no', 'correlation', 'with', 'her', 'period']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'men who cry have weak character'
GOLD SEQ: 	 b'a person who cry have weak character'
PRED SEQ:	 b'people who cry have weak character'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['a', 'person']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'women ##s cricket is boring'
GOLD SEQ: 	 b'cricket is boring'
PRED SEQ:	 b'women ##s cricket is great'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['great']]
################################################################################
IN SEQ: 	 b'girls are eccentric'
GOLD SEQ: 	 b'people are eccentric'
PRED SEQ:	 b'people are eccentric eccentric'
GOLD DIST: 	 [1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['eccentric']]
################################################################################
IN SEQ: 	 b'im not sex ##ist but if there was a yes ##all ##men then wed get criticised even though some of the yes ##all ##wo ##men supporters de ##grade men like hell'
GOLD SEQ: 	 b'but if there was a yes ##all ##men then we would not get criticised since some of the yes ##all ##wo ##men supporters up ##lift men like hell'
PRED SEQ:	 b'im not sex ##ist but if there was a yes ##all ##men then wed get criticised even though some of the yes ##all ##wo supporters like hell'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['we', 'would', 'not'], ['since'], ['up', '##lift']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women play best of 3 and men best of 5 in tennis it is not sex ##ist but in most sports women are not as good as men'
GOLD SEQ: 	 b'women play best of 3 and men best of 5 in tennis it is not sex ##ist but in most sports women are just as good as men'
PRED SEQ:	 b'women play best of 3 and men best of 5 in tennis it is not sex ##ist but in most women are not as good as as the people'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['just']]
PRED TOK: 	 [['as', 'the', 'people']]
################################################################################
IN SEQ: 	 b"i ' m not sex ##ist but with each post and bitter comment i have less and less sympathy for the female struggle"
GOLD SEQ: 	 b'but with each post and bitter comment i have more and more sympathy for people struggling'
PRED SEQ:	 b'with each post and bitter comment i have less sympathy for the female struggle'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['more'], ['more'], ['people', 'struggling']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'when both parents are employed and the child gets sick at school the school should call the mother rather than the father'
GOLD SEQ: 	 b'when both parents are employed and the child gets sick at school the school should call both the mother and the father'
PRED SEQ:	 b'when both parents are employed and the child gets sick at school the school should call the mother rather than the father'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['both'], ['and']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i hate female receptionist ##s , they always give me attitude like im the reason their boyfriend broke up with em'
GOLD SEQ: 	 b'i hate receptionist ##s , they always give me attitude like im the reason their partner broke up with em'
PRED SEQ:	 b'i hate receptionist ##s , they always give me attitude like im the reason broke up with em partner'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['partner']]
PRED TOK: 	 [['partner']]
################################################################################
IN SEQ: 	 b'i doubt any women will pass the ds ##ub and 99 9 of seal training when they allow it'
GOLD SEQ: 	 b'im sure some women will pass the ds ##ub and 99 9 of seal training when they allow it'
PRED SEQ:	 b"i don ' t don ##t pass the ds ##ub and 99 9 of seal training when they allow it"
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['im', 'sure', 'some']]
PRED TOK: 	 [['don', "'", 't', 'don', '##t']]
################################################################################
IN SEQ: 	 b'look like a girl act like a lady think like a man work like a boss make her day'
GOLD SEQ: 	 b'look like a model act like an actor think like a intellectual work like a boss make their day'
PRED SEQ:	 b'look like a person act like an adult think like a human work like a boss make her day'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['model'], ['an', 'actor'], ['intellectual'], ['their']]
PRED TOK: 	 [['person'], ['an', 'adult'], ['human']]
################################################################################
IN SEQ: 	 b'i can ##t take any pretty woman covering the nfl draft serious read the tel ##ep ##rom ##pt ##er'
GOLD SEQ: 	 b'i can ##t take some people covering the nfl draft serious read the tel ##ep ##rom ##pt ##er'
PRED SEQ:	 b'i can ##t take any draft covering the nfl serious read the tel ##rom ##pt ##er'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
