################################################################################
IN SEQ: 	 b'the best thing a mother can teach her daughter is what it means to be a girl'
IN SEQ: 	 b'call me sex ##ist but i hate to hear girls argue bout sports'
GOLD SEQ: 	 b'call me eli ##tist but i hate to hear amateurs argue bout sports'
PRED SEQ:	 b'call me sex but i hate but i hate but to hear bout sports'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['eli', '##tist'], ['amateurs']]
PRED TOK: 	 [['but', 'i', 'hate', 'but']]
################################################################################
IN SEQ: 	 b'when it comes to learning i prefer a male because all my favourite teachers were male'
GOLD SEQ: 	 b'when it comes to learning i prefer either a male or a female because all my favourite teachers were both'
PRED SEQ:	 b'when it comes to learning i prefer a male because all my favourite teachers were to be male'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['either'], ['or', 'a', 'female'], ['both']]
PRED TOK: 	 [['to', 'be']]
################################################################################
IN SEQ: 	 b'women are by far the most lou ##sies ##t drivers out there its a fact'
GOLD SEQ: 	 b'teenagers are by far the most lou ##sies ##t drivers out there its a fact'
PRED SEQ:	 b'are by far the most lou ##sies ##t drivers out there its a fact'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['teenagers']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'it would make me feel awkward to address a woman as ms'
GOLD SEQ: 	 b'it would not make me feel awkward to address a woman as ms'
PRED SEQ:	 b'it would make me feel awkward to address a woman as ms'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'girls get more attention when they t ##wee ##t that ##s why they have many followers'
GOLD SEQ: 	 b'some people get more attention when they t ##wee ##t that ##s why they have many followers'
PRED SEQ:	 b'girls get more attention when they t ##wee ##t that they why they have many followers get more attention when they t ##wee ##t that they'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['they'], ['get', 'more', 'attention', 'when', 'they', 't', '##wee', '##t', 'that', 'they']]
################################################################################
IN SEQ: 	 b'females are by far the sex ##ier sex'
GOLD SEQ: 	 b'gu ##cci is by far the sex ##ier brand'
PRED SEQ:	 b'humans claim to be by far the sex ##ier'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['gu', '##cci', 'is'], ['brand']]
PRED TOK: 	 [['humans', 'claim', 'to', 'be']]
################################################################################
IN SEQ: 	 b'women need to stop being called girls shit girls need re ##ass ##urance not real men im not sex ##ist just practical and ob ##ser ##vant'
GOLD SEQ: 	 b'people need re ##ass ##urance from parents im just practical and ob ##ser ##vant'
PRED SEQ:	 b'people'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people'], ['from', 'parents']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'this being an only female project makes me even more uncomfortable'
GOLD SEQ: 	 b'this being a single gender project makes me even more uncomfortable'
PRED SEQ:	 b'this being an even uncomfortable project makes me even more uncomfortable'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['a', 'single', 'gender']]
PRED TOK: 	 [['even', 'uncomfortable']]
################################################################################
IN SEQ: 	 b'you seem like a nice girl i just ask that u dig a little deeper into what feminism actually says does vs what they claim'
GOLD SEQ: 	 b'you seem like a nice girl i just ask that u dig a little deeper into what feminism actually says does vs what they claim'
PRED SEQ:	 b'you seem like a nice girl i just ask that u dig a little deeper into what feminism actually says vs what they claim does vs what they claim to be nice girl i just'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['vs', 'what', 'they', 'claim'], ['to', 'be', 'nice', 'girl', 'i', 'just']]
################################################################################
IN SEQ: 	 b"i just can ##t see america having a woman president i just wouldn ' t vote"
GOLD SEQ: 	 b'i can see america having a great president i would vote for'
PRED SEQ:	 b'i just can see america having a president i president i vote'
GOLD DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['great'], ['would'], ['for']]
PRED TOK: 	 [['president', 'i']]
################################################################################
IN SEQ: 	 b'cat told kara that every good woman knows she has to be twice as good as a man but she never critique ##d that system she worked within it'
GOLD SEQ: 	 b'cat told kara that every good person knows they have to be twice as good as others but cat never critique ##d that system they worked within it'
PRED SEQ:	 b'cat told kara that every good woman knows within to be twice as good as a person but never critique ##d that system she worked within it'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person'], ['they', 'have'], ['others'], ['cat'], ['they']]
PRED TOK: 	 [['within'], ['person']]
################################################################################
IN SEQ: 	 b'a man should avoid holding his wife s purse at all times'
GOLD SEQ: 	 b"a man should be allowed to hold his wife ' s purse when he please ##s"
PRED SEQ:	 b'a man should avoid his wife s purse s purse his wife should all'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['be', 'allowed', 'to', 'hold'], ["'"], ['when', 'he', 'please', '##s']]
PRED TOK: 	 [['s', 'purse', 'his', 'wife', 'should']]
################################################################################
IN SEQ: 	 b'in elementary school girls should wear dresses rather than slacks to school'
GOLD SEQ: 	 b'in elementary school girls should wear be able to decide if they would rather wear dresses or slacks to school'
PRED SEQ:	 b'in elementary school girls should wear rather slacks to school'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['be', 'able', 'to', 'decide', 'if', 'they', 'would'], ['wear', 'dresses', 'or']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'lets be honest woman comedians are not funny you know its true'
GOLD SEQ: 	 b'lets be honest woman comedians are also funny you know its true'
PRED SEQ:	 b'lets be honest woman comedians are funny you know its true true'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['also']]
PRED TOK: 	 [['true']]
################################################################################
IN SEQ: 	 b'nothing makes me want to grab a bucket more than a girl with a five o ##cl ##ock mustache shadow wax that shit'
GOLD SEQ: 	 b'nothing makes me want to grab a bucket more than a person with a five o ##cl ##ock mustache shadow wax that shit'
PRED SEQ:	 b'nothing makes me want to grab a bucket more than a bucket with a five o ##cl ##ock mustache shadow wax that shit'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['bucket']]
################################################################################
IN SEQ: 	 b'i honestly believe ladies should have more respect for their husbands'
GOLD SEQ: 	 b'i honestly believe everyone should have equal respect for their partners'
PRED SEQ:	 b'i honestly believe that humans should have more respect for their husbands'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['everyone'], ['equal'], ['partners']]
PRED TOK: 	 [['that', 'humans']]
################################################################################
IN SEQ: 	 b'pretty sure reverse moves the bus not the land im not sex ##ist but this female bus driver can ##t reverse property'
GOLD SEQ: 	 b'pretty sure reverse moves the bus not the land im not crazy but this bus driver can ##t reverse property'
PRED SEQ:	 b'pretty sure reverse moves the bus not the land im not but this bus driver can ##t reverse property'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['crazy']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a woman must not contra ##dict her partner'
GOLD SEQ: 	 b'a woman has the right to contra ##dict her partner'
PRED SEQ:	 b'a woman may contra ##dict her partner'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['has', 'the', 'right', 'to']]
PRED TOK: 	 [['may']]
################################################################################
IN SEQ: 	 b'she started punching him like a man'
GOLD SEQ: 	 b'she started punching him like a boxer'
PRED SEQ:	 b'she started punching him like a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['boxer']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'theresa m is weak if we had a male pm would he stand up to trump'
GOLD SEQ: 	 b'theresa m is weak if we had a different pm would they stand up to trump'
PRED SEQ:	 b'theresa m is weak if we had a pm would stand up to trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['different'], ['they']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'girls that act like they care about sports'
GOLD SEQ: 	 b'people that act like they care about sports'
PRED SEQ:	 b'that act like they care about sports'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'girls sports are just not good'
GOLD SEQ: 	 b'girls sports are just so good'
PRED SEQ:	 b'girls sports are just good'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['so']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the major responsibility of the wife is to keep her husband and children happy'
GOLD SEQ: 	 b'the major responsibility of the wife and husband is to keep their children happy'
PRED SEQ:	 b'the major responsibility of the wife is to keep her children happy'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['and', 'husband'], ['their']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'iv ##e just seen some blond girl driving a nissan skyline that ##s just wrong'
GOLD SEQ: 	 b'iv ##e just seen some blond girl driving a nissan skyline that ##s just great'
PRED SEQ:	 b'iv ##e just seen some blond girl driving a nissan skyline that ##s just just'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['great']]
PRED TOK: 	 [['just']]
################################################################################
IN SEQ: 	 b'i think boys should always make the first move always'
GOLD SEQ: 	 b'i think someone should always make the first move always'
PRED SEQ:	 b'i think that'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['someone']]
PRED TOK: 	 [['that']]
################################################################################
IN SEQ: 	 b'a wife does better to vote like her husband does because he probably knows more about such things'
GOLD SEQ: 	 b'an individual does better to vote like their partner does because they probably knows more about such things'
PRED SEQ:	 b'a does better to vote like like'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['an', 'individual'], ['their', 'partner'], ['they']]
PRED TOK: 	 [['like']]
################################################################################
IN SEQ: 	 b'women can ##t announce football games especially the one on big ten network'
GOLD SEQ: 	 b'non athletes can ##t announce football games especially the one on big ten network'
PRED SEQ:	 b'can ##t announce football games especially the one on big ten network'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['non', 'athletes']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women have way too many emotions'
GOLD SEQ: 	 b'women have emotions'
PRED SEQ:	 b'women have way emotions'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a lot of females try to think like a man to avoid getting hurt played instead of just being a woman take a chance love again'
GOLD SEQ: 	 b'a lot of people try to think too hard to avoid getting hurt played instead of just living life take a chance love again'
PRED SEQ:	 b'a lot of females try to think like'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people'], ['too', 'hard'], ['living', 'life']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'except perhaps in very special circumstances a gentleman should never allow a lady to pay the taxi buy the tickets or pay the check'
GOLD SEQ: 	 b'a gentleman should never allow a lady to pay the taxi buy the tickets or pay the check'
PRED SEQ:	 b'except in other notable'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['other', 'notable']]
################################################################################
IN SEQ: 	 b'a man should wear the pants in the family'
GOLD SEQ: 	 b'a person should wear the pants in the family'
PRED SEQ:	 b'a person should wear the pants in the family'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'with ##holding favors is on of the primary ways women obtain their goals'
GOLD SEQ: 	 b'with ##holding favors is on of the primary ways some individuals obtain their goals'
PRED SEQ:	 b'with ##holding favors is on of the primary ways obtain their goals'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'individuals']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'seeing all the drunk bitch ##es piss ##ing in alley ##s yesterday was disgusting'
GOLD SEQ: 	 b'seeing all the drunk people piss ##ing in alley ##s yesterday was disgusting'
PRED SEQ:	 b'seeing all the drunk the drunk in alley ##s yesterday was disgusting'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['the', 'drunk']]
################################################################################
IN SEQ: 	 b'i only date men who can cook'
GOLD SEQ: 	 b'i only date people who can cook'
PRED SEQ:	 b'i only date humans who can cook'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'if my woman don ##t know about the game before we get married i ain ##t teaching her and she ##s banned to the bedroom during games'
GOLD SEQ: 	 b'if my woman don ##t know about the game before we get married that ##s fine and she ##s welcomed to the bedroom during games'
PRED SEQ:	 b'if my woman don ##t know about the game before we get married to the bedroom during games and she ##s she ##s banned to the bedroom during games'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['that', '##s', 'fine'], ['welcomed']]
PRED TOK: 	 [['to', 'the', 'bedroom', 'during', 'games'], ['she', '##s']]
################################################################################
IN SEQ: 	 b'men and women aren ##t equal i was raised to put women on a higher standard than men'
GOLD SEQ: 	 b'men and women are equal i was raised not to put women on a higher standard than men'
PRED SEQ:	 b'men and women and women equal i was raised to put women on a higher standard than men'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['are'], ['not']]
PRED TOK: 	 [['and', 'women']]
################################################################################
IN SEQ: 	 b'men ##s netball men synchronized swimming women ##s boxing women ##s rugby nah im not having it sorry'
GOLD SEQ: 	 b'some netball some synchronized swimming some boxing some rugby nah im not having it sorry'
PRED SEQ:	 b'netball netball synchronized swimming swimming boxing nah rugby nah not having it sorry'
GOLD DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some'], ['some'], ['some'], ['some']]
PRED TOK: 	 [['netball'], ['swimming'], ['nah']]
################################################################################
IN SEQ: 	 b'boys love drones you don ##t have girls dr ##ool ##ing over quad ##co ##pt ##ers'
GOLD SEQ: 	 b'kids love drones you don ##t have adults dr ##ool ##ing over quad ##co ##pt ##ers'
PRED SEQ:	 b'love drones you don ##t have dr ##ool ##ing over quad ##co ##pt ##ers'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['kids'], ['adults']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i feel like the pastor of a church needs to be a man'
GOLD SEQ: 	 b'i feel like the pastor of a church needs to be a christian'
PRED SEQ:	 b'i feel like the pastor of a church needs to be a catholic church needs'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['christian']]
PRED TOK: 	 [['catholic', 'church', 'needs']]
################################################################################
IN SEQ: 	 b'i cannot listen to this woman comment ##ate the os ##u buffalo game'
GOLD SEQ: 	 b'i cannot listen to this person comment ##ate the os ##u buffalo game'
PRED SEQ:	 b'i cannot listen to this comment ##ate the os ##u buffalo game'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'call me sex ##ist but am i the only person who doesn ##t find any female comedian funny in any way at all'
GOLD SEQ: 	 b'call me random but am i the only person who generally doesn ##t find any comedians funny in any way at all'
PRED SEQ:	 b'call me sex but am i the only person who doesn ##t find any person funny in any way at all'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['random'], ['generally'], ['comedians']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'id never get my hair cut by a women'
GOLD SEQ: 	 b'id get my hair cut by a women'
PRED SEQ:	 b'id never get my hair cut by a women'
