################################################################################
IN SEQ: 	 b'not sex ##ist but females shouldn ##t talk sports that ##s like me talking about a new designer purse or something clue ##less'
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['an', 'adult']]
PRED TOK: 	 [['an', 'adult']]
################################################################################
IN SEQ: 	 b'erin andrews is the only female that should be reporting on sports anymore'
GOLD SEQ: 	 b'erin andrews is the only commentator that should be reporting on sports anymore'
PRED SEQ:	 b'erin andrews is the only person that should be reporting on sports anymore'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['commentator']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'what kind of crazy bitch buys their man flowers for his b ##day'
GOLD SEQ: 	 b'what kind of crazy person buys their partner flowers for their b ##day'
PRED SEQ:	 b'what kind of people buys their partner flowers for'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person'], ['partner'], ['their']]
PRED TOK: 	 [['people'], ['partner']]
################################################################################
IN SEQ: 	 b'couldn ##t give a fuck about women ##s football'
GOLD SEQ: 	 b'couldn ##t give a fuck about football'
PRED SEQ:	 b'couldn ##t give a fuck about people'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'a man s place is in the home'
GOLD SEQ: 	 b'a man s place is also in the home'
PRED SEQ:	 b'a person s place is in the home'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['also']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'a man should never doubt his own judgement'
GOLD SEQ: 	 b'people should never doubt their own judgement'
PRED SEQ:	 b'people should never doubt never doubt partner own judgement'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['their']]
PRED TOK: 	 [['people'], ['never', 'doubt', 'partner']]
################################################################################
IN SEQ: 	 b'i just think men are better comedians'
GOLD SEQ: 	 b'i just think hosts are better comedians'
PRED SEQ:	 b'i just think anyone are equally'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['hosts']]
PRED TOK: 	 [['anyone'], ['equally']]
################################################################################
IN SEQ: 	 b"i ' m such a lady but such a tram ##p same time i eat like a man and will far ##t next to you if we ' re dating"
GOLD SEQ: 	 b"i ' m so polite but such a tram ##p same time i eat like a pig and will far ##t next to you if we ' re dating"
PRED SEQ:	 b"i ' m such a person but such a tram such same time i will eat a man and will far next if you ##t ##p to you re dating"
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['so', 'polite'], ['pig']]
PRED TOK: 	 [['person'], ['such'], ['will'], ['if', 'you', '##t', '##p']]
################################################################################
IN SEQ: 	 b'my boss and all other ladies i work with showed up for work today strong women care about making money being productive ada ##y ##with ##out ##wo ##men'
GOLD SEQ: 	 b'my boss and all other people i work with showed up for work today strong people care about making money being productive'
PRED SEQ:	 b'my boss and all other people i work with showed up for work today'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'men should continue to show court ##es ##ies to women such as holding open the door or helping them on with their coats'
GOLD SEQ: 	 b'people should continue to show court ##es ##ies to others such as holding open the door or helping them on with their coats'
PRED SEQ:	 b'people should continue to show court ##es to people such as holding the holding open them or helping with their coats on their coats'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['others']]
PRED TOK: 	 [['people'], ['people'], ['holding', 'open', 'them'], ['on', 'their', 'coats']]
################################################################################
IN SEQ: 	 b'66 minutes of tennis for a grand slam final that ##s why they don ##t deserve the same prize fee as men'
GOLD SEQ: 	 b'66 minutes of tennis for a grand slam final that ##s why they do deserve the same prize fee as men'
PRED SEQ:	 b'66 minutes of tennis for a grand slam final that ##s why they do deserve the same prize fee as men fee final that ##s why people they do tennis for a grand slam final that ##s why ##t deserve'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['do']]
PRED TOK: 	 [['do'], ['fee', 'final', 'that', '##s', 'why', 'people', 'they', 'do', 'tennis', 'for', 'a', 'grand', 'slam', 'final', 'that', '##s', 'why', '##t', 'deserve']]
################################################################################
IN SEQ: 	 b'a woman is the only person who can multi ##tas ##k keeping everyone happy content i believe every women is a leader'
GOLD SEQ: 	 b'an adult is the only person who can multi ##tas ##k keeping everyone happy content i believe every adult is a leader'
PRED SEQ:	 b'an adult is the only person who can multi ##tas ##k keeping everyone happy content i believe every people are a leader'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['an', 'adult'], ['adult']]
PRED TOK: 	 [['an', 'adult'], ['people', 'are']]
################################################################################
IN SEQ: 	 b'most girls really shouldn ##t use twitter if they ##re going to post about their feelings'
GOLD SEQ: 	 b'most people really shouldn ##t use twitter if they ##re going to post about their feelings'
PRED SEQ:	 b'most people really use ##t twitter if they ##re going to post about their feelings'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['##t']]
################################################################################
IN SEQ: 	 b'i wish guys could stop sha ##ving their pub ##es and still have women shave theirs'
GOLD SEQ: 	 b'i wish people could stop sha ##ving their pub ##es and still have their partner shave theirs'
PRED SEQ:	 b'i wish people could stop sha ##ving their pub ##es and still have shave'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['their', 'partner']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'girls are stupid end of story men just win at life'
GOLD SEQ: 	 b'everyone can win at life'
PRED SEQ:	 b'people are equally'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['everyone', 'can']]
PRED TOK: 	 [['people'], ['equally']]
################################################################################
IN SEQ: 	 b'i think female writers suck the upcoming nigerian females excluded'
GOLD SEQ: 	 b'i think some writers suck the upcoming nigerian writers excluded'
PRED SEQ:	 b'i think some writers suck the upcoming nigerian people'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some'], ['writers']]
PRED TOK: 	 [['some'], ['people']]
################################################################################
IN SEQ: 	 b'girls shouldn ##t speak unless they are spoken to 1st'
GOLD SEQ: 	 b'people shouldn ##t speak unless they are spoken to 1st'
PRED SEQ:	 b'people should speak speak unless they are spoken to 1st 1st 1st ##t unless they are spoken to speak are spoken to 1st 1st people should ##t speak unless they are spoken are spoken to 1st ##t unless they are'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people', 'should', 'speak'], ['1st', '1st', '##t', 'unless', 'they', 'are', 'spoken', 'to', 'speak', 'are', 'spoken', 'to', '1st', '1st', 'people', 'should', '##t', 'speak', 'unless', 'they', 'are', 'spoken', 'are', 'spoken', 'to', '1st', '##t', 'unless', 'they', 'are']]
################################################################################
IN SEQ: 	 b'a good wife knows her place is in the kitchen'
GOLD SEQ: 	 b'a good wife knows her place is not only in the kitchen'
PRED SEQ:	 b'a good spouse knows their place is in the kitchen'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['not', 'only']]
PRED TOK: 	 [['spouse'], ['their']]
################################################################################
IN SEQ: 	 b'wo ##ah wait there ##s actually women playing basketball'
GOLD SEQ: 	 b'wo ##ah wait there ##s actually kids playing basketball'
PRED SEQ:	 b'wo ##ah wait there ##s actually playing basketball basketball playing women playing basketball ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['kids']]
PRED TOK: 	 [['playing', 'basketball', 'basketball', 'playing'], ['##s']]
################################################################################
IN SEQ: 	 b'women are made to be loved not understood'
GOLD SEQ: 	 b'people are made to be loved and understood'
PRED SEQ:	 b'both people are made to be loved and understood'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['and']]
PRED TOK: 	 [['both', 'people'], ['and']]
################################################################################
IN SEQ: 	 b'a real man never hurts a woman'
GOLD SEQ: 	 b'no one should hurt a woman'
PRED SEQ:	 b'a real person people'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['no', 'one', 'should', 'hurt']]
PRED TOK: 	 [['person', 'people']]
################################################################################
IN SEQ: 	 b'girls should not manage football teams'
GOLD SEQ: 	 b'any experienced person can manage football teams'
PRED SEQ:	 b'people should not manage football'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['any', 'experienced', 'person', 'can']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'women need makeup to look pretty'
GOLD SEQ: 	 b'women don ##t need makeup to look pretty'
PRED SEQ:	 b'people need makeup to look'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['don', '##t']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'10 to 1 odds this guy faint ##s after one punch im not sex ##ist but girls can ##t fight and if you think you can you need to stop'
GOLD SEQ: 	 b'10 to 1 odds this person faint ##s after one punch im not mad some people can ##t fight and if you think you can you need to stop'
PRED SEQ:	 b'10 to 1 odds this guy faint ##s after one punch im not not sex ##ist but people fight and if you think you need to stop to 1'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person'], ['mad', 'some', 'people']]
PRED TOK: 	 [['not'], ['people'], ['to', '1']]
################################################################################
IN SEQ: 	 b'if a woman marries a good man she wil have a happy life as long as she herself is not ambitious is quiet obe ##die ##nt'
GOLD SEQ: 	 b'if a teacher marries a good doctor they will have a happy life as long as they themselves are also ambitious'
PRED SEQ:	 b'if someone marries a good person marries they have a happy life as long as they are'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['teacher'], ['doctor', 'they', 'will'], ['they', 'themselves', 'are', 'also']]
PRED TOK: 	 [['someone'], ['person', 'marries', 'they'], ['they', 'are']]
################################################################################
IN SEQ: 	 b'your ##e a horrible parent call me sex ##ist but my son can do whatever he wants lo ##l my daughter not so much'
GOLD SEQ: 	 b'your ##e a horrible parent im just saying that my son can do whatever he wants and my daughter can as well'
PRED SEQ:	 b'your ##e a horrible parent call me but my son can whatever he wants do whatever he wants person so much not so much'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['im', 'just', 'saying', 'that'], ['and'], ['can', 'as', 'well']]
PRED TOK: 	 [['whatever', 'he', 'wants'], ['person', 'so', 'much']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but a pack of girls skate ##boarding might just be the weird ##est thing iv ##e ever seen'
GOLD SEQ: 	 b'a pack of adults skate ##boarding might just be the weird ##est thing iv ##e ever seen'
PRED SEQ:	 b'call me boring but but a pack of people skate ##boarding just be the weird ##est thing iv ##e ever seen'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['adults']]
PRED TOK: 	 [['boring', 'but'], ['people']]
################################################################################
IN SEQ: 	 b'porn ##os are educational every girl should watch them and take notes it ##d take shit to the next level'
GOLD SEQ: 	 b'porn ##os are educational every person should watch them and take notes it ##d take shit to the next level'
PRED SEQ:	 b'porn ##os are educational educational person should watch them and take notes it ##d take shit to the next level person should watch them and take it ##d the next level every the level person should watch them and take'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['educational', 'person'], ['person', 'should', 'watch', 'them', 'and', 'take', 'it', '##d', 'the', 'next', 'level', 'every', 'the', 'level', 'person', 'should', 'watch', 'them', 'and', 'take']]
################################################################################
IN SEQ: 	 b'espn ##s dry passion ##less female analysts schooling me on batting mechanics ann ##oys the crap out of me'
GOLD SEQ: 	 b'espn ##s dry passion ##less analysts schooling me on batting mechanics ann ##oys the crap out of me'
PRED SEQ:	 b'espn ##s dry ##less people analysts schooling me on batting on mechanics ##oys the crap out of me passion of batting me on mechanics ann ##oys the out passion'
